Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0283"
"0.0200","0.0007","0.0054"
"0.0400","0.0104","0.1663"
"0.0600","0.0328","0.2539"
"0.0800","0.0579","0.3648"
"0.1000","0.0823","0.4909"
"0.1200","0.1064","0.6685"
"0.1400","0.1301","0.8362"
"0.1600","0.1537","1.0773"
"0.1800","0.1775","1.7435"
"0.2000","0.2012","3.2673"
"0.2200","0.2250","5.4219"
"0.2400","0.2488","7.8395"
"0.2600","0.2726","10.3059"
"0.2800","0.2965","12.7874"
"0.3000","0.3203","15.7566"
"0.3200","0.3442","19.3628"
"0.3400","0.3681","23.9011"
"0.3600","0.3919","29.5699"
"0.3800","0.4159","36.2797"
"0.4000","0.4397","43.7878"
"0.4200","0.4637","51.9395"
"0.4400","0.4876","60.6755"
"0.4600","0.5115","70.1338"
"0.4800","0.5355","80.2149"
"0.5000","0.5594","90.7697"
"0.5200","0.5834","101.5757"
"0.5400","0.6073","112.7104"
"0.5600","0.6313","124.1615"
"0.5800","0.6552","136.0076"
"0.6000","0.6792","148.2887"
"0.6200","0.7032","161.1533"
"0.6390","0.7259","173.8407"
"0.6580","0.7487","187.0413"
"0.6760","0.7703","199.9702"
"0.6930","0.7907","212.6139"
"0.7100","0.8111","225.6063"
"0.7260","0.8302","238.1717"
"0.7420","0.8494","251.1070"
"0.7580","0.8686","264.4081"
"0.7730","0.8866","277.3105"
"0.7880","0.9046","290.5961"
"0.8020","0.9214","303.3412"
"0.8160","0.9382","316.4826"
"0.8290","0.9538","328.9965"
"0.8420","0.9694","341.8215"
"0.8550","0.9850","354.9573"
"0.8680","1.0006","368.3185"
"0.8800","1.0150","380.8313"
"0.8920","1.0294","393.5718"
"0.9040","1.0438","406.5257"
"0.9160","1.0582","419.6794"
"0.9280","1.0726","433.0735"
"0.9400","1.0870","446.6614"
"0.9510","1.1002","459.2237"
"0.9620","1.1133","471.9355"
"0.9730","1.1266","484.8283"
"0.9840","1.1398","497.8970"
"0.9950","1.1529","511.1508"
"1.0060","1.1661","524.6395"
"1.0170","1.1794","538.3531"
"1.0270","1.1914","550.9278"
"1.0370","1.2033","563.5761"
"1.0470","1.2153","576.4007"
"1.0570","1.2273","589.4341"
"1.0670","1.2393","602.6755"
"1.0770","1.2513","616.1308"
"1.0870","1.2633","629.8245"
"1.0970","1.2754","643.7170"
"1.1060","1.2861","656.3439"
"1.1150","1.2969","669.0929"
"1.1240","1.3077","682.0433"
"1.1330","1.3185","695.2020"
"1.1420","1.3293","708.5530"
"1.1510","1.3401","722.0669"
"1.1600","1.3509","735.7966"
"1.1690","1.3617","749.7257"
"1.1770","1.3713","762.2634"
"1.1850","1.3809","774.9147"
"1.1930","1.3905","787.7008"
"1.2010","1.4001","800.6594"

